Q1_age,Q2_gender,Q3_edu,Q4_exp,Q5_ai_know,H1,H2,H3,H4,S1,S2,S3,S4,B1,B2,B3,B4,B5,R1,R2,R3,R4,R5,R6,C1,C2,C3,C4,E1,E2,E3,E4,T1,T2,T3,T4,T5
61,1,3,2,4,2,3,5,4,2,5,3,5,5,3,4,4,4,1,4,3,4,4,4,5,3,5,2,4,5,5,2,3,4,5,2,5
25,2,5,2,2,4,4,2,2,2,4,5,4,5,3,5,4,4,3,1,4,1,1,1,4,4,2,3,4,3,2,2,4,2,2,4,3
64,2,3,1,2,4,2,2,2,5,3,3,4,5,5,3,3,4,3,3,2,1,4,3,4,3,5,5,2,2,5,2,3,2,4,3,2
52,2,4,1,3,2,2,3,5,3,2,2,2,3,5,4,4,4,2,4,3,4,1,2,3,3,3,2,4,4,5,3,4,2,4,4,2
31,1,4,1,2,5,3,4,4,3,2,5,2,5,5,4,3,3,4,2,1,1,3,4,3,3,4,4,5,2,4,5,3,5,5,3,3
34,1,3,1,1,5,5,2,4,3,3,3,5,3,5,3,5,3,4,3,1,2,1,3,2,2,2,4,3,4,5,5,3,4,2,3,2
53,1,4,1,5,2,3,3,4,2,5,5,3,3,5,5,5,3,3,2,3,4,3,1,3,2,4,5,3,3,2,2,2,4,3,4,3
67,2,3,1,5,2,3,3,4,3,3,2,4,3,3,3,4,3,2,3,3,3,4,4,2,4,5,4,3,4,2,2,5,3,4,2,2
57,1,2,1,4,4,5,4,2,3,5,4,4,4,4,5,3,4,4,2,1,4,3,2,2,4,4,5,2,3,4,3,5,4,5,2,4
21,1,3,2,2,5,5,5,2,2,3,2,5,3,3,4,3,5,3,1,2,2,4,3,4,2,5,4,4,4,5,3,4,4,2,5,4
19,2,3,1,1,2,5,2,3,4,4,2,2,3,5,5,4,3,1,4,4,2,2,2,4,4,5,3,5,3,5,3,5,2,5,2,3
23,1,4,2,4,4,2,4,3,2,5,2,3,4,3,4,5,5,4,2,2,4,2,1,5,2,3,2,5,3,2,5,3,3,3,5,2
59,2,4,1,3,5,4,2,4,3,4,2,2,3,5,3,4,3,2,3,3,4,2,3,4,5,5,3,2,5,5,5,3,4,4,2,5
21,2,1,1,4,3,2,3,4,2,2,4,2,5,5,3,5,3,2,4,2,1,3,1,4,3,3,2,5,3,5,5,2,5,5,2,2
46,2,1,1,4,4,4,3,4,4,3,4,2,5,3,3,3,5,2,4,1,2,2,1,3,3,3,2,5,5,5,2,2,4,5,3,4
35,1,2,1,2,5,2,5,3,2,2,5,2,3,5,5,5,4,1,3,3,4,1,4,4,4,3,2,5,3,3,5,5,2,5,5,4
43,1,1,1,3,5,4,3,5,3,2,3,4,4,4,4,4,3,4,2,4,4,4,2,5,2,2,3,5,2,4,4,4,5,3,2,2
61,1,3,1,4,4,2,3,5,4,2,4,4,5,5,3,3,3,4,1,1,2,4,3,3,2,2,2,4,3,3,4,5,2,5,5,2
51,1,4,1,1,3,5,4,3,5,2,4,2,4,4,3,4,3,1,1,1,4,1,1,5,4,5,3,5,2,4,3,5,4,3,3,5
27,1,1,1,1,4,3,2,3,3,3,3,3,4,4,4,4,5,4,2,4,1,3,1,4,2,3,5,3,2,2,5,5,5,3,3,5
53,1,1,1,5,5,2,2,3,4,2,4,5,5,5,3,5,4,1,4,4,2,3,3,5,5,2,4,2,3,5,4,5,3,3,5,2
31,1,2,1,3,2,4,4,3,4,3,2,3,4,3,4,4,5,1,4,2,1,4,1,3,3,3,4,4,2,4,3,3,3,4,3,2
48,2,2,1,3,2,5,5,3,5,3,2,3,5,4,4,5,5,1,4,3,1,2,4,2,4,4,2,5,5,3,5,4,5,4,4,2
65,1,3,1,5,4,2,2,3,2,4,3,3,4,3,4,3,4,2,4,4,1,3,4,5,4,4,3,4,4,5,2,3,5,5,4,2
32,2,4,2,4,5,2,3,4,2,5,5,2,5,4,4,5,5,4,2,4,1,3,4,5,2,4,4,5,3,2,4,4,2,5,3,3
25,1,2,1,3,2,5,2,4,3,5,5,4,3,5,4,3,4,1,4,3,2,1,4,3,4,5,3,3,2,4,2,2,5,4,4,2
31,1,1,1,1,5,2,3,4,5,3,3,3,5,5,5,5,3,4,3,4,1,1,1,3,5,3,3,2,3,4,5,5,2,2,2,5
40,1,4,1,1,4,3,5,4,2,4,3,2,5,4,3,4,4,2,4,4,1,2,3,5,2,4,2,5,5,4,4,3,4,4,5,4
57,2,4,1,2,2,2,4,3,5,3,2,3,5,5,5,5,3,1,1,2,4,3,3,4,2,2,4,5,3,5,5,4,2,3,2,3
38,2,1,1,3,5,3,2,5,2,3,5,3,5,4,3,5,5,3,4,1,2,3,3,5,2,4,2,5,3,3,2,2,5,4,5,2
33,2,2,1,4,2,3,4,2,4,3,4,2,4,5,5,3,5,2,2,1,2,1,3,3,2,4,2,5,2,3,4,2,5,3,3,4
62,2,1,2,5,4,5,2,3,2,4,2,4,3,3,4,4,3,3,1,1,3,3,2,2,5,4,4,2,5,4,2,5,4,5,2,3
35,1,4,2,5,5,2,3,2,5,5,3,4,5,5,3,5,5,4,2,1,2,4,3,2,2,5,4,2,4,2,5,4,5,2,3,4
64,2,5,2,4,2,5,4,5,4,4,5,5,4,3,3,4,4,4,2,4,2,1,2,4,4,2,5,3,4,2,5,3,5,5,3,2
41,1,5,1,2,4,2,2,4,4,2,4,2,3,5,5,5,3,2,1,3,3,2,2,5,5,3,5,2,2,3,2,5,3,3,5,2
43,1,3,1,5,2,2,3,5,4,4,4,5,3,3,5,5,5,4,2,3,2,1,4,2,3,2,3,5,3,2,4,3,3,3,5,5
42,2,1,1,3,2,4,4,3,5,4,2,5,3,5,3,4,3,3,2,2,2,3,2,5,3,3,4,3,2,3,2,2,4,3,5,2
62,2,1,1,2,3,2,4,4,3,4,5,5,3,3,5,5,4,1,4,2,2,2,1,3,4,5,5,3,2,4,5,3,2,2,2,2
58,2,3,1,3,3,5,2,3,3,4,5,4,5,4,5,4,4,1,3,4,2,1,2,2,4,5,3,3,2,3,2,3,3,4,4,3
46,2,3,2,1,4,3,2,4,3,5,3,2,5,4,5,5,5,1,2,3,3,4,4,4,5,5,3,5,3,3,5,5,2,5,5,5
32,2,3,1,2,3,2,2,2,5,2,5,5,4,3,4,3,4,2,2,3,2,4,2,3,3,5,3,4,5,4,2,3,5,5,5,3
